"","Sample","Worm_Presence","Vibration_Presence","Timepoint","Sminthuridae","Sminthurididae","Isotomidae","Entomobryidae","Onychiuridae","Meso1","Meso2","Meso3","Meso4","Meso5","Meso6","Meso7","Meso8","Oribatid1","Oribatid2","Oribatid3","Oribatid4","Oribatid5","Oribatid6","Oribatid7","Oribatid8","Oribatid9","Astig1","Astig2","Astig3","Astig4","Astig5","Prostig1","Prostig2","Prostig3","Prostig4","Prostig5","Prostig6","Prostig7","ImM1","ImM2","ImO1","ImO2","Enchytraeid","Worm","Thrips","Cricket","Snail","Aphid","Larvae","Fly","Millipede","Ant","Beetle","Centipede"
"1","S1T1","No","No","1",1,15,12,2,15,12,21,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,15,1,2,0,0,33,1,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2","S3T1","No","No","1",4,1,8,2,26,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"3","S5T1","No","No","1",2,0,0,0,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"4","SW2T1","Yes","No","1",4,64,22,0,4,17,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,16,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","SW5T1","Yes","No","1",0,2,6,0,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6","SW6T1","Yes","No","1",3,27,0,4,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,3,3,0,0,0,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"7","V1T1","No","Yes","1",0,2,13,0,26,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,27,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"8","V3T1","No","Yes","1",4,0,17,0,7,10,3,3,0,0,0,0,0,1,2,0,1,1,0,0,0,0,2,0,3,1,0,5,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"9","V5T1","No","Yes","1",7,45,3,0,5,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"10","VW2T1","Yes","Yes","1",0,1,6,0,4,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","VW3T1","Yes","Yes","1",0,0,12,0,9,21,2,12,0,0,0,1,0,0,1,0,1,0,2,0,0,0,2,3,1,3,0,7,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","VW4T1","Yes","Yes","1",0,2,0,0,8,25,9,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
